#,sinhala,1,,
summary,pali to sinhala,2,,
font,times,3,,
size,90%,4,,
author,visudhinanda,5,,
data,19-11-17,6,,
#,,7,,
khra,ඛ්‍ර,42,kh,ra
khrā,ඛ්‍රා,43,kh,rā
khya,ඛ්‍ය,44,kh,ya
khyā,ඛ්‍යා,45,kh,yā
ghra,ඝ්‍ර,70,gh,ra
ghrā,ඝ්‍රා,71,gh,rā
ghya,ඝ්‍ය,72,gh,ya
ghyā,ඝ්‍යා,73,gh,yā
chra,ඡ්‍ර,98,ch,ra
chrā,ඡ්‍රා,99,ch,rā
chya,ඡ්‍ය,100,ch,ya
chyā,ඡ්‍යා,101,ch,yā
jhra,ඣ්‍ර,126,jh,ra
jhrā,ඣ්‍රා,127,jh,rā
jhya,ඣ්‍ය,128,jh,ya
jhyā,ඣ්‍යා,129,jh,yā
ṭhra,ඨ්‍ර,168,ṭh,ra
ṭhrā,ඨ්‍රා,169,ṭh,rā
ṭhya,ඨ්‍ය,170,ṭh,ya
ṭhyā,ඨ්‍යා,171,ṭh,yā
ḍhra,ඪ්‍ර,196,ḍh,ra
ḍhrā,ඪ්‍රා,197,ḍh,rā
ḍhya,ඪ්‍ය,198,ḍh,ya
ḍhyā,ඪ්‍යා,199,ḍh,yā
thra,ථ්‍ර,238,th,ra
thrā,ථ්‍රා,239,th,rā
thya,ථ්‍ය,240,th,ya
thyā,ථ්‍යා,241,th,yā
dhra,ධ්‍ර,266,dh,ra
dhrā,ධ්‍රා,267,dh,rā
dhya,ධ්‍ය,268,dh,ya
dhyā,ධ්‍යා,269,dh,yā
phra,ඵ්‍ර,308,ph,ra
phrā,ඵ්‍රා,309,ph,rā
phya,ඵ්‍ය,310,ph,ya
phyā,ඵ්‍යා,311,ph,yā
bhra,භ්‍ර,336,bh,ra
bhrā,භ්‍රා,337,bh,rā
bhya,භ්‍ය,338,bh,ya
bhyā,භ්‍යා,339,bh,yā
kra,ක්‍ර,27,,
krā,ක්‍රා,28,,
kya,ක්‍ය,29,,
kyā,ක්‍යා,30,,
rka,ර්‍ක,31,,
kha,ඛ,34,kh,a
khā,ඛා,35,kh,ā
khi,ඛි,36,kh,i
khī,ඛී,37,kh,ī
khu,ඛු,38,kh,u
khū,ඛූ,39,kh,ū
khe,ඛේ,40,kh,e
kho,ඛෝ,41,kh,o
gra,ග්‍ර,56,g,ra
grā,ග්‍රා,57,g,rā
gya,ග්‍ය,58,g,ya
gyā,ග්‍යා,59,g,yā
gha,ඝ,62,gh,a
ghā,ඝා,63,gh,ā
ghi,ඝි,64,gh,i
ghī,ඝී,65,gh,ī
ghu,ඝු,66,gh,u
ghū,ඝූ,67,gh,ū
ghe,ඝේ,68,gh,e
gho,ඝෝ,69,gh,o
cra,ච්‍ර,84,c,ra
crā,ච්‍රා,85,c,rā
cya,ච්‍ය,86,c,ya
cyā,ච්‍යා,87,c,yā
cha,ඡ,90,ch,a
chā,ඡා,91,ch,ā
chi,ඡි,92,ch,i
chī,ඡී,93,ch,ī
chu,ඡු,94,ch,u
chū,ඡූ,95,ch,ū
che,ඡේ ,96,ch,e
cho,ඡෝ,97,ch,o
jra,ජ්‍ර,112,j,ra
jrā,ජ්‍රා,113,j,rā
jya,ජ්‍ය,114,j,ya
jyā,ජ්‍යා,115,j,yā
jha,ඣ,118,jh,a
jhā,ඣා,119,jh,ā
jhi,ඣි,120,jh,i
jhī,ඣී,121,jh,ī
jhu,ඣු,122,jh,u
jhū,ඣූ,123,jh,ū
jhe,ඣේ,124,jh,e
jho,ඣෝ,125,jh,o
ñra,ඤ්‍ර,140,ñ,ra
ñrā,ඤ්‍රා,141,ñ,rā
ñya,ඤ්‍ය,142,ñ,ya
ñyā,ඤ්‍යා,143,ñ,yā
ṭra,ට්‍ර,154,ṭ,ra
ṭrā,ට්‍රා,155,ṭ,rā
ṭya,ට්‍ය,156,ṭ,ya
ṭyā,ට්‍යා,157,ṭ,yā
ṭha,ඨ,160,ṭh,a
ṭhā,ඨා,161,ṭh,ā
ṭhi,ඨි,162,ṭh,i
ṭhī,ඨී,163,ṭh,ī
ṭhu,ඨු,164,ṭh,u
ṭhū,ඨූ,165,ṭh,ū
ṭhe,ඨේ,166,ṭh,e
ṭho,ඨෝ,167,ṭh,o
ḍra,ඩ්‍ර,182,ḍ,ra
ḍrā,ඩ්‍රා,183,ḍ,rā
ḍya,ඩ්‍ය,184,ḍ,ya
ḍyā,ඩ්‍යා,185,ḍ,yā
ḍha,ඪ,188,ḍh,a
ḍhā,ඪා,189,ḍh,ā
ḍhi,ඪි,190,ḍh,i
ḍhī,ඪී,191,ḍh,ī
ḍhu,ඪු,192,ḍh,u
ḍhū,ඪූ,193,ḍh,ū
ḍhe,ඪේ,194,ḍh,e
ḍho,ඪෝ,195,ḍh,o
ṇra,ණ්‍ර,210,ṇ,ra
ṇrā,ණ්‍රා,211,ṇ,rā
ṇya,ණ්‍ය,212,ṇ,ya
ṇyā,ණ්‍යා,213,ṇ,yā
tra,ත්‍ර,224,t,ra
trā,ත්‍රා,225,t,rā
tya,ත්‍ය,226,t,ya
tyā,ත්‍යා,227,t,yā
tha,ථ,230,th,a
thā,ථා,231,th,ā
thi,ථී,232,th,i
thī,ථී,233,th,ī
thu,ථු,234,th,u
thū,ථූ,235,th,ū
the,ථේ,236,th,e
tho,ථෝ,237,th,o
dra,ද්‍ර,252,d,ra
drā,ද්‍රා,253,d,rā
dya,ද්‍ය,254,d,ya
dyā,ද්‍යා,255,d,yā
dha,ධ,258,dh,a
dhā,ධා,259,dh,ā
dhi,ධි,260,dh,i
dhī,ධී,261,dh,ī
dhu,ධු,262,dh,u
dhū,ධූ,263,dh,ū
dhe,ධේ,264,dh,e
dho,ධෝ,265,dh,o
nra,න්‍ර,280,n,ra
nrā,න්‍රා,281,n,rā
nya,න්‍ය,282,n,ya
nyā,න්‍යා,283,n,yā
pra,ප්‍ර,294,p,ra
prā,ප්‍රා,295,p,rā
pya,ප්‍ය,296,p,ya
pyā,ප්‍යා,297,p,yā
pha,ඵ,300,ph,a
phā,ඵා,301,ph,ā
phi,ඵි,302,ph,i
phī,ඵී,303,ph,ī
phu,ඵු,304,ph,u
phū,ඵූ,305,ph,ū
phe,පේ,306,ph,e
pho,පෝ,307,ph,o
bra,බ්‍ර,322,b,ra
brā,බ්‍රා,323,b,rā
bya,බ්‍ය,324,b,ya
byā,බ්‍යා,325,b,yā
bha,භ,328,bh,a
bhā,භා,329,bh,ā
bhi,භි,330,bh,i
bhī,භී,331,bh,ī
bhu,භු,332,bh,u
bhū,භූ,333,bh,ū
bhe,භේ,334,bh,e
bho,භෝ,335,bh,o
mra,ම්‍ර,350,m,ra
mrā,ම්‍රා,351,m,rā
mya,ම්‍ය,352,m,ya
myā,ම්‍යා,353,m,yā
lra,ල්‍ර,384,l,ra
lrā,ල්‍රා,385,l,rā
lya,ල්‍ය,386,l,ya
lyā,ල්‍යා,387,l,yā
vra,ව්‍ර,398,v,ra
vrā,ව්‍රා,399,v,rā
vya,ව්‍ය,400,v,ya
vyā,ව්‍යා,401,v,yā
sra,ස්‍ර,412,s,ra
srā,ස්‍රා,413,s,rā
sya,ස්‍ය,414,s,ya
syā,ස්‍යා,415,s,yā
hra,හ්‍ර,426,h,ra
hrā,හ්‍රා,427,h,rā
hya,හ්‍ය,428,h,ya
hyā,හ්‍යා,429,h,yā
ḷra,ළ්‍ර,440,ḷ,ra
ḷrā,ළ්‍රා,441,ḷ,rā
ḷya,ළ්‍ය,442,ḷ,ya
ḷyā,ළ්‍යා,443,ḷ,yā
ka,ක,19,,
kā,කා,20,,
ki,කි,21,,
kī,කී,22,,
ku,කු,23,,
kū,කූ,24,,
ke,කේ,25,,
ko,කෝ,26,,
kh,ඛ්,33,kh,
ga,ග,48,g,a
gā,ගා,49,g,ā
gi,ගි,50,g,i
gī,ගී,51,g,ī
gu,ගු,52,g,u
gū,ගූ,53,g,ū
ge,ගේ,54,g,e
go,ගෝ,55,g,o
gh,ඝ්,61,gh,
ca,ච,76,c,a
cā,චා,77,c,ā
ci,චි,78,c,i
cī,චී,79,c,ī
cu,චු,80,c,u
cū,චූ,81,c,ū
ce,චේ,82,c,e
co,චෝ,83,c,o
ch,ඡ්,89,ch,
ja,ජ,104,j,a
jā,ජා,105,j,ā
ji,ජි,106,j,i
jī,ජී,107,j,ī
ju,ජු,108,j,u
jū,ජූ,109,j,ū
je,ජේ,110,j,e
jo,ජෝ,111,j,o
jh,ඣ්,117,jh,
ña,ඤ,132,ñ,a
ñā,ඤා,133,ñ,ā
ñi,ඤි,134,ñ,i
ñī,ඤී,135,ñ,ī
ñu,ඤු,136,ñ,u
ñū,ඤූ,137,ñ,ū
ñe,ඤේ,138,ñ,e
ño,ඤෝ,139,ñ,o
ṭa,ට,146,ṭ,a
ṭā,ටා,147,ṭ,ā
ṭi,ටි,148,ṭ,i
ṭī,ටී,149,ṭ,ī
ṭu,ටු,150,ṭ,u
ṭū,ටූ,151,ṭ,ū
ṭe,ටේ,152,ṭ,e
ṭo,ටෝ,153,ṭ,o
ṭh,ඨ්,159,ṭh,
ḍa,ඩ,174,ḍ,a
ḍā,ඩා,175,ḍ,ā
ḍi,ඩි,176,ḍ,i
ḍī,ඩී,177,ḍ,ī
ḍu,ඩු,178,ḍ,u
ḍū,ඩූ,179,ḍ,ū
ḍe,ඩේ,180,ḍ,e
ḍo,ඩෝ,181,ḍ,o
ḍh,ඪ්,187,ḍh,
ṇa,ණ,202,ṇ,a
ṇā,ණා,203,ṇ,ā
ṇi,ණි,204,ṇ,i
ṇī,ණී,205,ṇ,ī
ṇu,ණු,206,ṇ,u
ṇū,ණූ,207,ṇ,ū
ṇe,ණේ,208,ṇ,e
ṇo,ණෝ,209,ṇ,o
ta,ත,216,t,a
tā,තා,217,t,ā
ti,ති,218,t,i
tī,තී,219,t,ī
tu,තු,220,t,u
tū,තූ,221,t,ū
te,තේ,222,t,e
to,තෝ,223,t,o
th,ථ්,229,th,
da,ද,244,d,a
dā,දා,245,d,ā
di,දි,246,d,i
dī,දී,247,d,ī
du,දු,248,d,u
dū,දූ,249,d,ū
de,දේ,250,d,e
do,දෝ,251,d,o
dh,ධ්,257,dh,
na,න,272,n,a
nā,නා,273,n,ā
ni,නි,274,n,i
nī,නී,275,n,ī
nu,නු,276,n,u
nū,නූ,277,n,ū
ne,නේ,278,n,e
no,නෝ,279,n,o
pa,ප,286,p,a
pā,පා,287,p,ā
pi,පි,288,p,i
pī,පී,289,p,ī
pu,පු,290,p,u
pū,පූ,291,p,ū
pe,පේ,292,p,e
po,පෝ,293,p,o
ph,ඵ්,299,ph,
ba,බ,314,b,a
bā,බා,315,b,ā
bi,බි,316,b,i
bī,බී,317,b,ī
bu,බු,318,b,u
bū,බූ,319,b,ū
be,බේ,320,b,e
bo,බෝ,321,b,o
bh,භ්,327,bh,
ma,ම,342,m,a
mā,මා,343,m,ā
mi,මි,344,m,i
mī,මී,345,m,ī
mu,මු,346,m,u
mū,මූ,347,m,ū
me,මේ,348,m,e
mo,මෝ,349,m,o
ya,‍ය,356,y,a
yā,යා,357,y,ā
yi,යි,358,y,i
yī,යී,359,y,ī
yu,යු,360,y,u
yū,යූ,361,y,ū
ye,යේ,362,y,e
yo,යෝ,363,y,o
ra,‍ර,366,r,a
rā,රා,367,r,ā
ri,රි,368,r,i
rī,රී,369,r,ī
ru,රු,370,r,u
rū,රූ,371,r,ū
re,රේ,372,r,e
ro,රෝ,373,r,o
la,ල,376,l,a
lā,ලා,377,l,ā
li,ලි,378,l,i
lī,ලී,379,l,ī
lu,ලු,380,l,u
lū,ලූ,381,l,ū
le,ලේ,382,l,e
lo,ලෝ,383,l,o
va,ව,390,v,a
vā,වා,391,v,ā
vi,වි,392,v,i
vī,වී,393,v,ī
vu,වු,394,v,u
vū,වූ,395,v,ū
ve,වේ,396,v,e
vo,වෝ,397,v,o
sa,ස,404,s,a
sā,සා,405,s,ā
si,සි,406,s,i
sī,සී,407,s,ī
su,සු,408,s,u
sū,සූ,409,s,ū
se,සේ,410,s,e
so,සෝ,411,s,o
ha,හ,418,h,a
hā,හා,419,h,ā
hi,හි,420,h,i
hī,හී,421,h,ī
hu,හු,422,h,u
hū,හූ,423,h,ū
he,හේ,424,h,e
ho,හෝ,425,h,o
ḷa,ළ,432,ḷ,a
ḷā,ළා,433,ḷ,ā
ḷi,ළි,434,ḷ,i
ḷī,ළී,435,ḷ,ī
ḷu,ළු,436,ḷ,u
ḷū,ළූ,437,ḷ,ū
ḷe,ළේ,438,ḷ,e
ḷo,ළෝ,439,ḷ,o
ṃ,o,8,,
ṅ,ඞ,9,,
a,අ,10,,
ā,ආ,11,,
i,ඉ,12,,
ī,ඊ,13,,
u,උ,14,,
ū,ඌ,15,,
e,ඒ,16,,
o,ඕ,17,,
k,ක්,18,,
g,ග්,47,g,
c,ච්,75,c,
j,ජ්,103,j,
ñ,ඤ්,131,ñ,
ṭ,ට්,145,ṭ,
ḍ,ඩ්,173,ḍ,
ṇ,ණ්,201,ṇ,
t,ත්,215,t,
d,ද්,243,d,
n,න්,271,n,
p,ප්,285,p,
b,බ්,313,b,
m,ම්,341,m,
y,ය්,355,y,
r,ර්,365,r,
l,ල්,375,l,
v,ව්,389,v,
s,ස්,403,s,
h,හ්,417,h,
ḷ,ළ්,431,ḷ,
