"gramma","count"
amarakosugghāṭanaṭīkā15.,1
ani.,1
ani.1.,1
anihataparādhīnedī.ni.ṭī.,1
anihataparādhīnedī.ni.ṭī.1.,1
apa.1.2.,1
apa.2.43.,1
apa.2.7.,1
apa.aṭṭha.2.54.,1
apa.aṭṭha.2.55.,1
apa.aṭṭha.2.6.,1
apa.tera1.,1
apa.tera1.4.,1
apa.thera.1.1.,1
apa.thera.1.10.,1
apa.thera1.18.,1
apa.thera1.22.,1
apa.thera1.23.,1
apa.thera1.35.,1
apa.thera1.41.,1
apa.thera2.43.,1
apa.therī.,1
apa.therī.2.,1
apa.therī.2.3.,1
apa.therī1.,1
attaparāmāsapuññādiphalatācodanānayenadī.ni.ṭī.,1
"aṭṭha.,saṃ.ni.",1
"aṭṭha.,saṃ.ni.3.",1
aṭṭha.ni.,1
aṭṭha.ni.9.,1
avipākaṃ,1
bu.baṃ.aṭṭha.,1
bu.va.,1
bu.va.10.,1
bu.va.aṭṭha.,1
bu.va.aṭṭha.1.,1
bu.vaṃ.11.,1
bu.vaṃ.13.,1
bu.vaṃ.14.,1
bu.vaṃ.15.,1
bu.vaṃ.16.,1
bu.vaṃ.17.,1
bu.vaṃ.18.,1
bu.vaṃ.19.,1
bu.vaṃ.20.,1
bu.vaṃ.21.,1
bu.vaṃ.22.,1
bu.vaṃ.23.,1
bu.vaṃ.24.,1
bu.vaṃ.25.,1
bu.vaṃ.26.,1
bu.vaṃ.3.,1
bu.vaṃ.5.,1
bu.vaṃ.54.,1
bu.vaṃ.6.,1
bu.vaṃ.7.,1
bu.vaṃ.8.,1
bu.vaṃ.9.,1
byasanasannipātakāraṇā–dī.ni.ṭī.,1
byasanasannipātakāraṇā–dī.ni.ṭī.1.,1
caṃ,1
cariyā.1.16.,1
cariyā.aṭṭha.2.,1
cariyā.aṭṭha.3.,1
cariyā.aṭṭha.nidānakathā.,1
cariyā1.,1
cariyā3.,1
cariyāaṭṭha.,1
cariyāaṭṭha.2.,1
cintāmaṇiṭīkā1.,1
cintāmaṇiṭīkā1.2.,1
cintāmaṇiṭīkā12.,1
cintāmaṇiṭīkā14.,1
cintāmaṇiṭīkā15.,1
cintāmaṇiṭīkā18.,1
cintāmaṇiṭīkā19.,1
cintāmaṇiṭīkā5.,1
cūḷa.ni.,1
cūlani.,1
cūḷani.ajitamāṇavapucchāniddesa.,1
cūḷani.pārāyanavagga.,1
cūḷava,1
cūḷva.,1
"dha.pa.396,su.ni.",1
dha.pa.aṭṭha.1.1.,1
dha.pa.aṭṭha.1.2.,1
Dha.sa.,1
dha.sa.11.,1
"dha.sa.1237,vibha.",1
dha.sa.16.,1
dha.sa.anuṭī.,1
Dha.sa.aṭṭha.,1
dha.sa.aṭṭha.1.,1
dha.saṃ.,1
dhammapadaaṭṭha.,1
dhasa.,1
"dhātvatthasaṅgaha,",1
dī.3.,1
dī.na.,1
dī.na.1.,1
Dī.ni.1.,1
dī.ni.1.3.,1
dī.ni.1.7.,1
dī.ni.3.1.,1
"dī.ni.3.324,356,ma.ni.",1
"dī.ni.3.324,356,ma.ni.1.",1
dī.ni.7.,1
dī.ni.abhi.ṭī.2.,1
dī.ni.aṭṭa.,1
dī.ni.aṭṭa.2.,1
dī.nī.aṭṭha.,1
Dī.ni.aṭṭha.1.,1
dī.ni.aṭṭha.1.1ma.ni.aṭṭha.,1
dī.ni.aṭṭha.1.1ma.ni.aṭṭha.1.,1
Dī.ni.aṭṭha.2.,1
dī.nī.aṭṭha.2.,1
dī.ni.ṭi.,1
Dī.ni.ṭī.,1
dī.ni.ṭi.1.,1
Dī.ni.ṭī.1.,1
dī.niaṭṭha.,1
dī.niaṭṭha.1.,1
etanevasārattha.ṭī.,1
etanevasārattha.ṭī.cūḷavagga3.,1
ganthakaraṇaṃdha.sa.mūlaṭī.,1
iti.,1
"iti.90,a.ni.",1
"iti.90,a.ni.4.",1
itivu.aṭṭa.,1
itivuttake,1
Jā.1.,1
Jā.1.11.,1
Jā.2.,1
jā.2.1.,1
Jā.2.22.,1
jā.5.,1
jā.5.3.,1
jā.aṭṭha.3.7.,1
jā.aṭṭha.3.8.,1
jā.aṭṭha.4.14.,1
jā.aṭṭha.5.16.,1
jā.aṭṭha.5.17.,1
jā.aṭṭha.5.18.,1
jā.aṭṭha.6.,1
jā.aṭṭha.6.22.,1
jātakaaṭṭha.,1
jinindabuddhinu,1
"ka.,cūḷava.",1
ka.saṃ.ni.,1
ka.saṃ.ni.1.,1
"ka.sī.,a.ni.",1
"ka.sī.,a.ni.10.",1
kaccāyanasāre,1
kappamāṇavapucchāniddesa,1
kāsikā,1
katā.,1
kathāvatthu,1
"katthaci,dī.ni.",1
"katthaci,dī.ni.3.",1
khu.ni.,1
Khu.pā.,1
khu.pā.2.,1
Khu.pā.5.,1
khu.pā.aṭṭha.5.,1
"kisamahatamimekasamahā.imapaccayeparekisa,mahanthasaddānaṃkamena",1
ma.ni.1.293a.ni.,1
ma.ni.1.293a.ni.3.,1
ma.ni.10.,1
Ma.ni.2.,1
ma.ni.327.saṃ.ni.,1
ma.ni.327.saṃ.ni.2.,1
ma.ni.94.,1
ma.ni.aṭṭa.,1
ma.ni.aṭṭa.1.,1
ma.ni.aṭṭha.1.1.,1
ma.ni.aṭṭha.1.10.,1
ma.ni.aṭṭha.2.4.,1
"ma.ni.aṭṭha.3.425,udā.aṭṭha.",1
mahā.,1
mahā.aṭṭha.,1
mahābhāsa,1
mahābhāsa7.,1
mahābhāsa7.2.,1
mahāni.1.,1
mahāva,1
māhāva.,1
mahāva.4.,1
"mahāva.66,cūḷava.",1
māhāva.aṭṭha.,1
medinīkosa,1
medinīkosa16,1
mettagūmāṇavapucchāniddesa,1
mi.pa.1.9.,1
mi.pa.2.4.,1
mi.pa.5.2.,1
mi.pa.6.2.,1
mi.pa.6.4.,1
moga.,1
moggallāne4.33.,1
mogharājamāṇavapucchāniddese,1
mugdhabodhaṭīkāyaṃ,1
mūlaṭī.,1
Nāma.pari.,1
nāmassanāmenaavinibbhogovibha.mūlaṭī.,1
natthidī.ni.aṭṭha.,1
natthidī.ni.aṭṭha.1.,1
netti,1
Netti.,1
netti.aṭṭha.4.,1
netti.ṭī.,1
nibbattitattāma.ni.ṭī.,1
nibbattitattāma.ni.ṭī.1.,1
nibbutivedanassadī.ni.ṭī.,1
nibbutivedanassadī.ni.ṭī.1.,1
niruttidīpaniyaṃ,1
ṇvādi,1
nyāyabhāssa,1
nyāyabhāssa5.,1
nyāyabhāssa5.2.10moggallānapañcikāṭīkā1.,1
odhisakaanodhisakadisāpharaṇānaṃma.ni.aṭṭha.,1
odhisakaanodhisakadisāpharaṇānaṃma.ni.aṭṭha.1.,1
pā,1
"pā,1,",1
"pā,1,1,",1
pā.,1
pā.1.,1
pā.1.4.,1
pa.pa.aṭṭha.,1
paāci.aṭṭha.,1
pāci.2.,1
pāci.aṭṭha.2.,1
pahā.va.,1
pāṇini.2.,1
pāṇini.2.1.,1
pāṇini.3.,1
pāṇini.3.3.,1
pāṇinī1.,1
pāṇinī1.2.,1
pāṇinī1539saddanītidhātumālāyaṃ,1
pāṇini2.,1
pāṇini2.1.,1
pāṇinī3.,1
pāṇinī3.4.,1
pāṇini5.3.,1
pāṇini5.4.,1
pāṇini6.,1
pāṇini6.3.,1
pārā,1
Pārā.,1
pārā.2.,1
"pārā.73,pari.",1
Pārā.aṭṭha.,1
Pārā.aṭṭha.1.,1
Parama.vi.,1
pārāyanānugītiniddesa,1
paribhāsendusere,1
passama.ni.,1
passama.ni.3.,1
paṭhamavagga,1
paṭi.1.,1
paṭi.3.,1
paṭi.aṭṭha.,1
pāṭi.ma.,1
paṭi.ma.1.1.,1
"paṭi.ma.1.24,3.",1
"paṭi.ma.105,mahāni.aṭṭha.",1
pāṭi.ma.2.,1
paṭi.ma.2.1.,1
paṭi.ma.aṭṭha.1.2.,1
"paṭi.ma.mātikā68,1.",1
paṭi.ro.,1
paṭi.ro.1.,1
paṭṭha.,1
paṭṭha.1.,1
paṭṭha.1.1.,1
paṭṭhā.1.paccayaniddesa.,1
paṭṭhā.2.14.,1
paṭṭhā.2.16.,1
paṭṭhā.2.21.,1
paṭṭhā.5.,1
paṭṭhā.5.1.,1
paṭṭhā.9.,1
paṭṭhā.9.12.,1
paṭṭhā.anuṭī.,1
paṭṭhā.anuṭī.1.,1
paṭṭhā3.,1
paṭṭhā3.4.,1
paṭṭhāna.,1
paṭṭhāna.1.,1
paṭṭhāna.1.1.,1
peṭako,1
"pī.,dī.ni.",1
"pī.,dī.ni.1.",1
pī.a.ni.,1
pī.a.ni.4.,1
posālamāṇavapucchāniddesa,1
pu.pa.10.,1
pu.pa.13.,1
pu.pa.15.,1
pu.pa.mūlaṭī.,1
ro.ni.,1
ro.ni.1.,1
ro.ni.1.1.,1
rū.,1
rupasiddhi,1
rupasiddhiyaṃ,1
sa.ni.1.,1
sa.ni.3.,1
sa.ni.4.,1
sabbatthaa.ni.,1
sabbatthaa.ni.5.,1
saddanīti,1
saddanītisuttamālāya,1
saṃ.,1
saṃ.ni.1.1.,1
saṃ.ni.1.2.,1
saṃ.ni.2.22.,1
"saṃ.ni.2.43,44,45,saṃ.ni.",1
"saṃ.ni.2.43,44,45,saṃ.ni.4.",1
Saṃ.ni.3.,1
Saṃ.ni.3.5.,1
Saṃ.ni.4.,1
saṃ.ni.6.,1
saṃ.ni.aṭṭha.1.2.,1
saṃ.ni.aṭṭha.2.4.,1
saṃ.ni.ṭī.1.2.,1
saṃ.ni.ṭī.2.1.,1
saṃ.ni.ṭī.2.4.,1
saṃ.ni2.,1
saṃ.ni2.4.,1
saṃni.2.4.,1
sārattha.aṭṭha.,1
sārattha.aṭṭha.pācittiya3.,1
sārattha.dī.,1
sārattha.dī.pārājikakaṇḍa2.,1
sārattha.ṭī..,1
sārattha.ṭī..Cūḷavagga3.,1
sārattha.ṭī.1.buddhāciṇṇakathā.,1
sārattha.ṭī.cūḷava.,1
sārattha.ṭī.cūḷava.3.,1
sārattha.ṭī.cūḷavagga.,1
sārattha.ṭī.cūḷavagga.3.,1
sārattha.ṭī.cūḷavagga2.,1
sārattha.ṭī.cūḷvagga3.,1
sārattha.ṭī.mahāva.,1
sārattha.ṭī.mahāvaggo3.,1
sārattha.ṭī.pārājika2.,1
sārattha.ṭī.pārājikakaṇḍa3.,1
sārattha.ṭī.saṃghādisesakaṇḍa3.,1
sārattha.ṭī.sekhiyakaṇḍa3.,1
sārattha.ṭī.verañjakaaṇḍavaṇṇanā.,1
sāratthaṭī.mahāvagga3.,1
sāratthaṭī.pārājikakaṇḍa2.,1
savipākaṃ,1
sī.aṭṭha.su.ni.,1
sī.dha.pa.,1
"sī.pī.,a.ni.",1
"sī.pī.,a.ni.8.",1
sī.pī.a.ni.3.,1
sī.pī.a.ni.4.,1
sī.pī.a.ni.8.,1
sī.pī.saṃ.ni.1.,1
sī.pī.saṃ.ni.5.,1
sī.saṃ.ni.,1
sī.saṃ.ni.1.,1
"sī.syā.,saṃ.ni.",1
"sī.syā.,saṃ.ni.1.",1
"sī.syā.kaṃ.pī.,saṃ.ni.",1
"sī.syā.kaṃ.pī.,saṃ.ni.2.",1
sī.syā.ma.ni.,1
sī.syā.ma.ni.2.,1
sī.syā.pī.su.ni.,1
sīlasuddhivasenadī.ni.ṭī.,1
sīlasuddhivasenadī.ni.ṭī.1.,1
Su.ni.,1
su.ni.1.15.,1
su.ni.15.,1
su.ni.aṭṭha.1.1.,1
subodhālaṃkāre,1
sukkhāsaniviyadī.ni.aṭṭha.,1
sukkhāsaniviyadī.ni.aṭṭha.3.,1
suṃ.ni.,1
suṃ.ni.1.,1
syā.jā.1.4.,1
syā.jā.1.6.,1
"syā.kaṃ.,dī.ni.",1
"syā.kaṃ.,dī.ni.2.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.3.",1
"syā.kaṃ.ka.,a.ni.",1
"syā.kaṃ.ka.,a.ni.3.",1
syā.mahāva.,1
syā.saṃ.ni.,1
syā.saṃ.ni.1.,1
syā.udā.,1
Theragā.,1
theragā.aṭṭha.1.1.,1
theragā.aṭṭha.1.2.,1
tissametteyyamāṇavapucchāniddesa,1
"tissametteyyamāṇavapucchāniddesa10,",1
titaṇḍasesa,1
titaṇḍasesa1.,1
titaṇḍasesa1.1.,1
Udā.,1
udā.aṭṭha.1.,1
udāna.aṭṭha.,1
udānaaṭṭha.,1
udānaparicchedo,1
udānaṭṭhakathāyaṃ,1
"udānaṭṭhakathāyaṃ4vagge,",1
upasīvamāṇavapucchāniddesa,1
va.,1
vajira.ṭī.cūḷavagga.,1
vajiraṭī.,1
vanadāhādīsuvāsārattha.ṭī.,1
vanadāhādīsuvāsārattha.ṭī.cūḷavagga3.,1
vi.,1
vi.aṭṭha.2.,1
Vi.saṅga.aṭṭha.,1
vi.saṅgaaṭṭha.,1
Vi.va.,1
vi.vi.ṭi.,1
vi.vi.ṭī.pacittiya2.,1
vi.vi.ṭi.parivāra2.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.2.,1
vibha.1.,1
vibha.3.,1
vibha.4.,1
vibha.a.,1
vibha.anuṭī.2.,1
vibha.aṭṭha.2.,1
vibha.mūlaṭī.2.,1
vimānavatthu,1
vinayavi.,1
virajjanīyadhammabhāvamattenaparinipphannādī.ni.ṭī.,1
virajjanīyadhammabhāvamattenaparinipphannādī.ni.ṭī.1.,1
Visuddhī.,1
Visuddhī.2.,1
visuddhi.2.3.,1
visuddhi.aṭṭha.,1
visuddhi.aṭṭha.1.,1
visuddhi.mahāṭi.,1
visuddhi.mahāṭi.2.,1
yama.1.,1
yama.1.dhāturamaka.,1
yama.3.indriyayamakapāḷi.,1
yama.aṭṭha.āyatanayamaka.,1
Yathā,1
yathā194yāva,1
