1,Mūla,0
2,Sutta,0
3,Dīgha,0
4,Sīlakkhandhavaggapāḷi,93
4,Mahāvaggapāḷi,94
4,Pāthikavaggapāḷi,95
3,Majjhima,0
4,Mūlapaṇṇāsapāḷi,164
4,Majjhimapaṇṇāsapāḷi,165
4,Uparipaṇṇāsapāḷi,166
3,Saṃyutta,0
4,Sagāthāvaggo,167
4,Nidānavaggo,168
4,Khandhavaggo,169
4,Saḷāyatanavaggo,170
4,Mahāvaggo,171
3,Aṅguttara,0
4,Ekakanipātapāḷi,84
4,Dukanipātapāḷi,85
4,Tikanipātapāḷi,86
4,Catukkanipātapāḷi,87
4,Pañcakanipātapāḷi,88
4,Chakkanipātapāḷi,89
4,Sattakanipātapāḷi,90
4,Aṭṭhakanipātapāḷi,91
4,Navakanipātapāḷi,92
4,Dasakanipātapāḷi,82
4,Ekādasakanipātapāḷi,83
3,Khuddaka,0
4,Khuddakapāṭhapāḷi,154
4,Dhammapadapāḷi,156
4,Udānapāḷi,157
4,Itivuttakapāḷi,158
4,Suttanipātapāḷi,159
4,Vimānavatthupāḷi,160
4,Petavatthupāḷi,161
4,Theragāthāpāḷi,162
4,Therīgāthāpāḷi,163
4,Therāpadānapāḷi(Paṭhamo bhāgo),143
4,Therāpadānapāḷi(Dutiyo bhāgo),144
4,Buddhavaṃsapāḷi,145
4,Cariyāpiṭakapāḷi,146
4,Jātakapāḷi(Dutiyo bhāgo),147
4,Jātakapāḷi(Paṭhamo bhāgo),148
4,Mahāniddesapāḷi,149
4,Cūḷaniddesapāḷi,150
4,Paṭisambhidāmaggapāḷi,151
4,Milindapañhapāḷi,152
4,Nettippakaraṇapāḷi,153
4,Peṭakopadesapāḷi,155
2,Vinaya,0
3,Suttavibhaṅga,0
4,Pārājikapāḷi,213
4,Pācittiyapāḷi,214
3,Khandhaka,0
4,Mahāvaggapāḷi,215
4,Cūḷavaggapāḷi,216
3,Parivāra,0
4,Parivārapāḷi,217
2,abhidhamma,0
3,Dhammasaṅgaṇī,0
4,Dhammasaṅgaṇīpāḷi,73
3,Vibhaṅga,0
4,Vibhaṅgapāḷi,74
3,Dhātukathā,0
4,Dhātukathāpāḷi,75
3,Puggalapaññatti,0
4,Puggalapaññattipāḷi,76
3,Kathāvatthu,0
4,Kathāvatthupāḷi,77
3,Yamaka,0
4,Yamakapāḷi (paṭhamo bhāgo),78
4,Yamakapāḷi (dutiyo bhāgo),79
4,Yamakapāḷi (tatiyo bhāgo),80
3,Paṭṭhāna,0
4,Paṭṭhānapāḷi(Paṭhamo bhāgo),81
4,Paṭṭhānapāḷi(Dutiyo bhāgo),69
4,Paṭṭhānapāḷi(Tatiyo bhāgo),70
4,Paṭṭhānapāḷi(Catuttho bhāgo),71
4,Paṭṭhānapāḷi(Pañcamo bhāgo),72
1,Aṭṭhakathā,0
2,Sutta,0
3,Dīgha,0
4,Sīlakkhandhavaggaṭṭhakathā,103
4,Mahāvaggaṭṭhakathā,104
4,Pāthikavaggaṭṭhakathā,105
3,Majjhima,0
4,Mūlapaṇṇāsa-aṭṭhakathā,130
4,Majjhimapaṇṇāsa-aṭṭhakathā,131
4,Uparipaṇṇāsa-aṭṭhakathā,132
3,Saṃyutta,0
4,Sagāthāvagga-aṭṭhakathā,133
4,Nidānavagga-aṭṭhakathā,134
4,Khandhavagga-aṭṭhakathā,135
4,Saḷāyatanavagga-aṭṭhakathā,136
4,Mahāvagga-aṭṭhakathā,137
3,Aṅguttara,0
4,Ekakanipāta-aṭṭhakathā,99
4,Dukanipāta-aṭṭhakathā,100
4,Pañcakanipāta-aṭṭhakathā,101
4,Aṭṭhakanipāta-aṭṭhakathā,102
3,Khuddaka,0
4,Khuddakapāṭha-aṭṭhakathā,116
4,Dhammapada-aṭṭhakathā,122
4,Udāna-aṭṭhakathā,123
4,Itivuttaka-aṭṭhakathā,124
4,Suttanipāta-aṭṭhakathā,125
4,Vimānavatthu-aṭṭhakathā,126
4,Petavatthu-aṭṭhakathā,127
4,Theragāthā-aṭṭhakathā(Paṭhamo bhāgo),128
4,Theragāthā-aṭṭhakathā(Dutiyo bhāgo),129
4,Therīgāthā-aṭṭhakathā,106
4,Apadāna-aṭṭhakathā(Paṭhamo bhāgo),107
4,Buddhavaṃsa-aṭṭhakathā,108
4,Cariyāpiṭaka-aṭṭhakathā,109
4,Jātaka-aṭṭhakathā(Paṭhamo bhāgo),110
4,Jātaka-aṭṭhakathā(Dutiyo bhāgo),111
4,Jātaka-aṭṭhakathā(Tatiyo bhāgo),112
4,Jātaka-aṭṭhakathā(Catuttho bhāgo),113
4,Jātaka-aṭṭhakathā(Pañcamo bhāgo),114
4,Jātaka-aṭṭhakathā(Chaṭṭho bhāgo),115
4,Jātaka-aṭṭhakathā(Sattamo bhāgo),117
4,Mahāniddesa-aṭṭhakathā,118
4,Cūḷaniddesa-aṭṭhakathā,119
4,Paṭisambhidāmagga-aṭṭhakathā(Paṭhamo bhāgo),120
4,Nettippakaraṇa-aṭṭhakathā,121
2,vinaya,0
3,Suttavibhaṅga,0
4,Pārājikakaṇḍa-aṭṭhakathā (paṭhamo bhāgo),138
4,Pācittiya-aṭṭhakathā,139
3,Khandhaka,0
4,Mahāvagga-aṭṭhakathā,140
4,Cūḷavagga-aṭṭhakathā,141
3,Parivāra,0
4,Parivāra-aṭṭhakathā,142
2,abhidhamma,0
4,Dhammasaṅgaṇī-aṭṭhakathā,96
4,Vibhaṅga-aṭṭhakathā,97
4,Pañcapakaraṇa-aṭṭhakathā,98
1,Ṭīkā,0
2,sutta,0
3,Dīgha,0
4,Sīlakkhandhavaggaṭīkā,185
4,Mahāvaggaṭīkā,186
4,Pāthikavaggaṭīkā,187
4,Sīlakkhandhavaggaabhinavaṭīkā,188
4,Sīlakkhandhavaggaabhinavaṭīkā,189
3,Majjhima,0
4,Mūlapaṇṇāsa-ṭīkā,192
4,Majjhimapaṇṇāsaṭīkā,193
4,Uparipaṇṇāsa-ṭīkā,194
3,Saṃyutta,0
4,Sagāthāvaggaṭīkā,195
4,Nidānavaggaṭīkā,196
4,Khandhavaggaṭīkā,197
4,Saḷāyatanavaggaṭīkā,198
4,Mahāvaggaṭīkā,199
3,Aṅguttara,0
4,Ekakanipāta-ṭīkā,181
4,Dukanipāta-ṭīkā,182
4,Pañcakanipāta-ṭīkā,183
4,Aṭṭhakanipāta-ṭīkā,184
3,Khuddaka,0
4,Nettippakaraṇa-ṭīkā,190
4,Nettivibhāvinī,191
2,Vinaya,0
4,Sāratthadīpanī-ṭīkā (paṭhamo bhāgo),204
4,Sāratthadīpanī-ṭīkā (dutiyo bhāgo),205
4,Sāratthadīpanī-ṭīkā (tatiyo bhāgo),206
4,Bhikkhupātimokkhapāḷi,207
4,Vinayasaṅgaha-aṭṭhakathā,208
4,Vajirabuddhi-ṭīkā,209
4,Vimativinodanī-ṭīkā (paṭhamo bhāgo),210
4,Vinayālaṅkāra-ṭīkā (paṭhamo bhāgo),211
4,Kaṅkhāvitaraṇīpurāṇa-ṭīkā,212
4,Vinayavinicchayo,200
4,Vinayavinicchayaṭīkā(Paṭhamo bhāgo),201
4,Pācityādiyojanā,202
4,Khuddasikkhā-mūlasikkhā,203
2,Abhidhamma,0
4,Dhammasaṅgaṇī-mūlaṭīkā,172
4,Vibhaṅga-mūlaṭīkā,173
4,Pañcapakaraṇa-mūlaṭīkā,174
4,Dhammasaṅgaṇī-anuṭīkā,175
4,Pañcapakaraṇa-anuṭīkā,176
4,Ganthārambhakathā,177
4,Abhidhammatthasaṅgaho,178
4,Paṭhamo paricchedo,179
4,Abhidhammamātikāpāḷi,180
1,Añña,0
2,Visddhimaga,0
4,Visuddhimaggo(Paṭhamo bhāgo),64
4,Visuddhimaggo(Dutiyo bhāgo),65
4,Visuddhimagga-mahāṭīkā(Paṭhamo bhāgo),66
4,Visuddhimagga-mahāṭīkā(Dutiyo bhāgo),67
4,Visuddhimagga nidānakathā,68
2,Saṅgayana-puccha vissajjanā,0
4,Dīghanikāye,39
4,Majjhimanikāya,40
4,Saṃyuttanikāye,41
4,Aṅguttaranikāye,42
4,Vinayapiṭaka,43
4,Abhidhammapiṭaka,44
4,Aṭṭhakathā,45
2,Leḍī sayādo gantha-saṅgaho,0
4,Niruttidīpanīpāṭha,22
4,Paramatthadīpanī,23
4,Anudīpanīpāṭha,24
4,Paṭṭhānuddesa dīpanīpāṭha,25
2,Buddha-vandanā gantha-saṅgaho,0
4,Namakkārapāḷi,1
4,Mahāpaṇāmapāṭha(Buddhavandanā),2
4,Lakkhaṇāto,3
4,Suttavandanā,4
4,Jinālaṅkāra,5
4,Kamalāñjali,6
4,Pajjamadhu,7
4,Buddhaguṇagāthāvalī,8
2,Vaṃsa-gantha-saṅgaho,0
4,Cūḷaganthavaṃsapāḷi,61
4,Sāsanavaṃsappadīpikā,62
4,Mahāvaṃsapāḷi,63
2,Byākaraṇa gantha-saṅgaho,0
4,Moggallānasuttapāṭho,13
4,Kaccāyanabyākaraṇaṃ,14
4,Saddanītippakaraṇaṃ (padamālā),15
4,Saddanītippakaraṇaṃ,16
4,Padarūpasiddhi,17
4,Moggallāna pañcikā ṭīkā,18
4,Payogasiddhipāḷi,19
4,Vuttodayaṃ,20
4,Abhidhānappadīpikā,21
4,Abhidhānappadīpikāṭīkā,9
4,Subodhālaṅkāro,10
4,Subodhālaṅkāraṭīkā,11
4,Bālāvatāra,12
2,Nīti-gantha-saṅgaho,0
4,Kavidappaṇanīti,27
4,Nītimañjarī,28
4,Dhammanīti,29
4,Mahārahanīti,30
4,Lokanīti,31
4,Suttantanīti,32
4,Sūrassatīnīti,33
4,Cāṇakyanītipāḷi,34
4,Naradakkhadīpanī,35
4,Caturārakkhadīpanī,26
2,Pakiṇṇaka-gantha-saṅgaho,0
4,Rasavāhinī,36
4,Sīmavisodhanī,37
4,Vessantarāgīti,38
2,Sihaḷa-gantha-saṅgaho,0
4,Vuttisametā,52
4,Thupavaṃso,53
4,Dāṭhāvaṃso,54
4,Dhātupāṭha vilāsiniyā,55
4,Dhātuvaṃso,56
4,Hatthavanagallavihāra vaṃso,57
4,Jinacaritaya,58
4,Jinavaṃsadīpaṃ,59
4,Telakaṭāhagāthā,60
4,Milidaṭīkā,46
4,Padamañjarī,47
4,Padasādhanaṃ,48
4,Saddabindu pakaraṇaṃ,49
4,Kaccāyana dhātu mañjūsā,50
4,Samantakūṭavaṇṇanā,51
